S/N,NAME OF THE PS ,CR NO,DATE OF REPORT,SEC OF LAW,CRIME HEAD,ROAD TYPE,DATE OF OCCURRENCE,TIME OF OCCURRENCE,PLACE OF OCCURRENCE ,PLACE OF OCCURRENCE RURAL V/R URBAN,"ROAD TYPE 
(NH, SH, DR TOWN, VILLAGE ROAD)",VICTIM  VEHICLE,ACCUSED VEHICLE,DEATHS: MALE AGES,DEATHS FEMALE AGES,GREVIOUS INJURED: MALE AGES,GREVIOUS INJURED: FEMALE AGES,"SIMPLE INJURED : MALE AGES
","SIMPLE INJURED : FEMALE AGES
",IF PEDESTRIAN AGE : MALE AGE,IF PEDESTRIAN AGE : FEMALE AGE,MALE ACCUSED AGE,FEMALE ACCUSED AGE,DRIVING LICENCE       (YES V/R NO V/R NOT KNOWN),INSURANCE   (YES V/R NO V/R NOT KNOWN),WEATHER CONDITION
18,Kolar Rural PS,0072/2023,07-02-2023,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,06-02-2023,19:30,"Near Shree Basaveshwara School, Kendatti Gate, NH-75 Road, Kolar",RURAL,NH,T/W,T/W,,,20,,33,38,,,25,,,,
19,Kolar Rural PS,0078/2023,13-02-2023,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12-02-2023,23:00,"In between Alahalli-Karinayakanahalli Raod, Kolar",RURAL,VR,T/W,NOT KNOWN,34,,,,,,,,UNKNOWN,,,,
20,Kolar Rural PS,0079/2023,13-02-2023,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,12-02-2023,15:00,"Near R V Collage, Kolar-Bangarapete Road, Kolar",RURAL,SH,T/W,CAR,,,46,,29,,,,38,,,,
21,Kolar Rural PS,0083/2023,15-02-2023,"IPC 1860 U/s: 279,338,304(A),337",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,15-02-2023,01:30,"Near Cheluvanahalli Gate, Bengalore-Kolar NH-75 Road",RURAL,NH,T/W,LORRY ,34,,34,,,,,,38,,,,
22,Kolar Rural PS,0093/2023,23-02-2023,"IPC 1860 U/s: 304(A),338,279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,23-02-2023,12:00,"Near Kondarajanahalli Gate, Kolar-Bangalore NH-75 Road",RURAL,NH,T/W,LORRY ,34,,34,,,,,,24,,,,
23,Kolar Rural PS,0100/2023,26-02-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,25-02-2023,16:00,"In front of DC office Road,, Kolar-Mulabagalu NH-75 Road",RURAL,NH,T/W,CAR,,,52,34/9,,,,,28,,,,
24,Kolar Rural PS,0101/2023,26-02-2023,"IPC 1860 U/s: 304(A),279,337",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,26-02-2023,09:30,"Maderahalli Gate U-turn, Bengalore-Kolar NH-75 Road",RURAL,NH,PEDESTRIAN,T/W,34,,,,,,34,,18,,,,
25,Kolar Rural PS,0110/2023,03-03-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,03-03-2023,08:30,"Hodalavadi Cross, Kolar-Manighatta Road",RURAL,VR,T/W,T/W,,,,,,,,,23,,,,
26,Kolar Rural PS,0111/2023,04-03-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177 IPC 1860 U/s: 338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,04-03-2023,10:30,"Near Ramu Poultry Farm, Shettiganahalli Gate, Vakkaleri-Parshwaganahalli Road",RURAL,VR,T/W,Auto,,,34/15,,,,,,34,,,,
27,Kolar Rural PS,0114/2023,06-03-2023,"IPC 1860 U/s: 338,337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,05-03-2023,18:30,"Near Shiva Hotel, Maderahalli Village, Kolar-Benagalore NH-74 Road",RURAL,NH,PEDESTRIAN,VAN,,,12,33,,,12,33,38,,,,
28,Kolar Rural PS,0118/2023,08-03-2023,"IPC 1860 U/s: 338,337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,07-03-2023,08:30,"Near Highway Star Hotel, Ajjappanahalli Village, Kolar-Mulabagalu NH-75 Road",RURAL,NH,T/W,Tractor,,,23,,,34,,,34,,,,
29,Kolar Rural PS,0129/2023,11-03-2023,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,10-03-2023,01:00,"Garudanahalli gate, Garudanahalli Village",RURAL,OTHER ROAD,PEDESTRIAN,T/W,,,80,,29,,80,,,,,,
30,Kolar Rural PS,0130/2023,14-03-2023,"IPC 1860 U/s: 338,337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,06-03-2023,11:00,"Near Nadupalli gate, Kolar-Bethamangala Road",RURAL,SH,T/W,CAR,,,29,,,31,,,,,,,
31,Kolar Rural PS,0132/2023,15-03-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,14-03-2023,15:00,"Near R K Gardon Kendatti, NH-75 Road",RURAL,NH,SELF,CAR,,,43,"60, 37",32,57/45,,,,,,,
32,Kolar Rural PS,0141/2023,19-03-2023,"IPC 1860 U/s: 279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,19-03-2023,15:00,"Near Mayas Hotel, Kolar Mulbagalu NH75 Highwy Road",RURAL,NH,SELF,CAR,,,,,,,,,50,,,,
33,Kolar Rural PS,0142/2023,19-03-2023,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,19-03-2023,14:30,"Maderahalli Gate U-turn, Bengalore-Kolar NH-75 Road",RURAL,NH,T/W,CAR,,,23/34,,28,,,,30,,,,
34,Kolar Rural PS,0143/2023,20-03-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,25-02-2023,12:30,"Near Bhatrahalli gate, Kolar-Bethamangala Road",RURAL,SH,SELF,T/W,,34,,,,,,,40,,,,
35,Kolar Rural PS,0152/2023,25-03-2023,"IPC 1860 U/s: 338,337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,18-03-2023,06:00,"Near Hemadri Collage, Kolar-Srinivasapura Road",RURAL,SH,T/W,T/W,,,42,,,29,,,,,,,
36,Kolar Rural PS,0153/2023,26-03-2023,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,26-03-2023,07:20,"Near Ramanji's House Bethani gate, Bengalore-Kolar NH-75 Road",RURAL,NH,T/W,T/W,34,,,,,,,,,,,,
37,Kolar Rural PS,0156/2023,27-03-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,24-03-2023,11:00,"Near Medithambihalli gate, Mulabagalu-Kolar NH-75 Road,",RURAL,NH,SELF,BOLERO,,,,,34,,,,27,,,,
38,Kolar Rural PS,0165/2023,31-03-2023,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,30-03-2023,19:00,Belaganahalli gate Bridge Near Ramasandra Gate,RURAL,NH,T/W,CAR,,,41,,46,,,,,,,,
39,Kolar Rural PS,0166/2023,31-03-2023,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,30-03-2023,19:55,Kalahastipura gate,RURAL,NH,PEDESTRIAN,CAR,57,,,,,,57,,,,,,
40,Kolar Rural PS,0171/2023,03-04-2023,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177 IPC 1860 U/s: 338,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,03-04-2023,11:00,"Near Bethani gate, NH-75 Road",RURAL,NH,BUS,TIPPER,,,52,,"39, 52",,,,51,,,,
41,Kolar Rural PS,0181/2023,06-04-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,06-04-2023,02:00,"Near Vadaguru gate, Kolar-Mulabagalu NH-75 Road",RURAL,NH,SELF,CAR,,,,,,,,,25,,,,
42,Kolar Rural PS,0182/2023,06-04-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,05-04-2023,20:00,"Near Vadaguru gate, Kolar-Mulabagalu NH-75 Road",RURAL,NH,SELF,CAR,,,,,,,,,,,,,
43,Kolar Rural PS,0201/2023,19-04-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,19-04-2023,05:30,"Near Kondarajanahalli gate, NH-75 Road",RURAL,NH,SELF,T/W,,,,,,,,,,,,,
44,Kolar Rural PS,0202/2023,19-04-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,19-04-2023,06:00,"Near Kondarajanahalli gate, NH-75 Road",RURAL,NH,SELF,T/W,,,,,,,,,25,,,,
45,Kolar Rural PS,0203/2023,19-04-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,19-04-2023,06:20,"Near Kondarajanahalli gate, NH-75 Road",RURAL,NH,SELF,T/W,,,,,,,,,,,,,
46,Kolar Rural PS,0204/2023,19-04-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,19-04-2023,06:15,"Near Kondarajanahalli gate, NH-75 Road",RURAL,NH,SELF,T/W,,,,,,,,,,,,,
47,Kolar Rural PS,0205/2023,19-04-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,19-04-2023,06:30,"Near Kondarajanahalli gate, NH-75 Road",RURAL,NH,SELF,T/W,,,,,,,,,19,,,,
48,Kolar Rural PS,0216/2023,25-04-2023,"IPC 1860 U/s: 304(A),337,279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,25-04-2023,16:45,"Near Sahyadri collage cross, Kolar-Tekal road, Kolar Tq",RURAL,TOWN,T/W,CAR,,26,,,37/34,24,,,,,,,
49,Kolar Rural PS,0221/2023,27-04-2023,"IPC 1860 U/s: 304(A),338,337,279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,27-04-2023,15:45,"Shapuru Cross, Kolar-Bethamangala Road, Kolar Tq",RURAL,OTHER ROAD,SELF,CAR,34,,34,,34/32/34,,,,,,,,
50,Kolar Rural PS,0236/2023,12-05-2023,"IPC 1860 U/s: 338,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,10-05-2023,15:30,"In front of Garments foctory, Near Bethani gate, NH-75 Road",RURAL,NH,T/W,CAR,,,34,,29,,,,24,,,,
51,Kolar Rural PS,0237/2023,13-05-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,13-05-2023,09:30,"Sun light restorent, Near Arabhikothanuru gate, Narasapura towardds Kolar Road",RURAL,NH,CAR,Bolero,,,,,63,,,,25,,,,
52,Kolar Rural PS,0241/2023,16-05-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15-05-2023,20:00,"Beside the Megha Mandalamma temple, Holuru-Rojeranahalli road, Janapanahalli",RURAL,VR,SELF,LORRY,,,,,,,,,37,,,,
53,Kolar Rural PS,0242/2023,17-05-2023,"IPC 1860 U/s: 338,337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,16-05-2023,18:30,"Near Dandu Maramma temple, Kolar towords Bangarapete road",RURAL,SH,T/W,T/W,,,24,,24,,,,19,,,,
54,Kolar Rural PS,0244/2023,18-05-2023,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,196,146,180",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,17-05-2023,20:30,"A little bit distance from Nernahalli gate, Kolar-Mulabagalu NH-75 Road",RURAL,NH,T/W,Tractor,48,,,,,,,,33/25,,,,
55,Kolar Rural PS,0249/2023,21-05-2023,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,20-05-2023,20:30,"Near Chamarahalli gate, Kolar-Bethamangala Road",RURAL,SH,SELF,CAR,34,,,,34/34,,,,36,,,,
56,Kolar Rural PS,0250/2023,21-05-2023,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,20-05-2023,14:00,"In between Mandanahalli Cross Mullahalli gate, Kolar - Chintamani Road",RURAL,SH,SELF,T/W,,,65,,33,,,,35,,,,
57,Kolar Rural PS,0257/2023,23-05-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,22-05-2023,19:00,"Shettikotanuru Village Gate,, Kolar taluk",RURAL,VR,CAR,EICHER,,,,,32,,,,32,,,,
58,Kolar Rural PS,0258/2023,24-05-2023,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,22-05-2023,13:15,"Near Chamundeshwari Dhaba, Bethani Gate, NH-75 Road, Kolar Taluk",RURAL,NH,T/W,T/W,,,30,,30,,,,,,,,
59,Kolar Rural PS,0263/2023,25-05-2023,"IPC 1860 U/s: 338,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,24-05-2023,19:30,"Near shrinivasa S/O Late Narayanappa land, Mylandahalli Majara LakshmiSagara Village, Kolar",RURAL,VR,T/W,TEMPO,,,,26,32,,,,48,,,,
60,Kolar Rural PS,0265/2023,26-05-2023,"IPC 1860 U/s: 279,304A INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,26-05-2023,16:30,"Near Appayyappa Forming Land kakinatha Village, Kolar Taluk",RURAL,VR,T/W,Tractor,10,,,,,,,,45,,,,
61,Kolar Rural PS,0268/2023,27-05-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,27-05-2023,13:00,"Near Veerapura gate, Kolar towards Srinivasapura Road",RURAL,SH,T/W,T/W,,,,,38,42,,,,,,,
62,Kolar Rural PS,0270/2023,30-05-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,28-05-2023,17:30,"Infront of Farm, Kembodi towards Chadumanahalli, Road, Kolar taluk",RURAL,VR,T/W,T/W,,,,,43,,,,,,,,
63,Kolar Rural PS,0272/2023,31-05-2023,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,31-05-2023,10:00,"Near Nanjappa's Koli farm, Kotiganahalli Village, Kolar Tq,",RURAL,VR,T/W,Tractor,,,28,,29,46,,,33,,,,
64,Kolar Rural PS,0273/2023,01-06-2023,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,01-06-2023,03:30,"In front of Basaveshwar School, Near Kendatti gate, NH-75 Road,",RURAL,NH,JEEP,LORRY,,,22,,,,,,44,,,,
65,Kolar Rural PS,0277/2023,03-06-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,02-06-2023,17:30,"In front of Shayi Garments, Near Bethani gate, NH-75 Road",RURAL,NH,PEDESTRIAN,T/W,,34,,,,,,34,30,,,,
66,Kolar Rural PS,0281/2023,04-06-2023,"IPC 1860 U/s: 304(A),337,279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,04-06-2023,10:00,"Sahakara Nagara Cross, Kolar-Bangarapete Road",RURAL,SH,T/W,T/W,34,,,,34,,,,,,,,
67,Kolar Rural PS,0283/2023,05-06-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,05-06-2023,01:00,"Near Bethani Village, Bengalore-Kolar NH-75 Road",RURAL,NH,T/W,CAR,,,,,33,,,,,,,,
68,Kolar Rural PS,0285/2023,07-06-2023,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,06-06-2023,23:45,"Near Maharshi Vidya Mandira, Kolar-Srinivasapura Road",RURAL,SH,T/W,T/W,,,34,40,,40,,,25,,,,
69,Kolar Rural PS,0292/2023,10-06-2023,"IPC 1860 U/s: 279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196 IPC 1860 U/s: 338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,30-05-2023,10:00,"Near Petrol Bunk, Thambihalli gate, NH-75 Road",RURAL,NH,SELF,AUTO,,,,32,,34,,,28,,,,
70,Kolar Rural PS,0293/2023,11-06-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,11-06-2023,16:00,"Near Maszid, Sangondahalli Village, Kolar-Vemagal Road",RURAL,SH,T/W,Auto,,,,,35,,,,59,,,,
71,Kolar Rural PS,0297/2023,13-06-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,12-06-2023,13:00,"KENDATTI GATE, NH -75",RURAL,NH,T/W,CAR,,,34,,34,,,,,,,,
72,Kolar Rural PS,0303/2023,15-06-2023,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14-06-2023,18:00,"Near JangamaBasapur Gate,Battarahalli Village",RURAL,SH,PEDESTRIAN,T/W,,,35,,28,,35,,50,,,,
73,Kolar Rural PS,0308/2023,17-06-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,16-06-2023,09:45,"Vadaguru Gate, Chenai-Bengalore NH-75 Raod",RURAL,NH,T/W,CAR,34,,,,,,,,33,,,,
74,Kolar Rural PS,0309/2023,17-06-2023,"IPC 1860 U/s: 338,337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17-06-2023,10:30,"In front of Highway Star Hotel, Kolar-Mulabagilu Road,NH-75",RURAL,NH,T/W,CAR,,,"10, 34, 10",,"10, 10",,,,37,,,,
75,Kolar Rural PS,0311/2023,18-06-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17-06-2023,20:00,"In front of A.V.G.Manju,Bricks Factory, Mulabagilu-Kolar Road,NH-75-Haighway",RURAL,NH,T/W,Tractor,,,"17, 23",,33,,,,27,,,,
76,Kolar Rural PS,0312/2023,18-06-2023,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,337,338,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,18-06-2023,13:30,"Near Battrahalli Gate,, Bethmangala-Kolar Road-SH 96",RURAL,SH,T/W,Bolero,,23,,,26,34,,,27,,,,
77,Kolar Rural PS,0321/2023,23-06-2023,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,22-06-2023,05:30,"Infront of Venkataramappa Tea Shop, Ammerahalli Village",RURAL,SH,PEDESTRIAN,CAR,,,55,,,,55,,48,,,,
78,Kolar Rural PS,0322/2023,24-06-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,24-06-2023,09:25,"Infront of Kondrajanahalli Dharga,Kolar Bypass, NH-75 Road",RURAL,NH,CAR,CAR,,,,,,,,,49,,,,
79,Kolar Rural PS,0323/2023,25-06-2023,"IPC 1860 U/s: 338,337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,25-06-2023,13:00,"Shapur Cross,SH-96- Kolar - Bethamangala Road",RURAL,SH,T/W,CAR,,,44,,,35,,,47,,,,
80,Kolar Rural PS,0325/2023,27-06-2023,"IPC 1860 U/s: 338,279, 304(a)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,26-06-2023,17:30,"Near Chaluvanahalli Gate,NH-75, Bengaluru-Kolar Road",RURAL,NH,T/W,CAR,56,,,,,52,,,59,,,,
81,Kolar Rural PS,0327/2023,28-06-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,26-06-2023,12:30,"Kalahastipura Gate NH-75, Kolar-Mulabagilu Road",RURAL,NH,PEDESTRIAN,T/W,,,52,,,52,,52,,,,,
82,Kolar Rural PS,0328/2023,28-06-2023,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,196 IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,22-06-2023,15:30,"Near Seepura Gate SH-96, Kolar-Chikkaballapur Road",RURAL,SH,T/W,T/W,40,,,,,,,,42,,,,
83,Kolar Rural PS,0336/2023,04-07-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,02-07-2023,20:00,"Near Murandahalli Railway Bridge, Chintamani Kolar Main Road",RURAL,SH,CAR ,CAR,,,,,26,32/42,,,40,,,,
84,Kolar Rural PS,0342/2023,07-07-2023,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,29-06-2023,15:30,"Near Betni Village NH-75, Kolar - Bengaluru Road",RURAL,NH,SELF,T/W,,,52,,44,,,,23,,,,
85,Kolar Rural PS,0343/2023,07-07-2023,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,07-07-2023,10:00,"Infront of AVG Giriyappa House, Kolar Mulbagalu NH75 Highway Road",RURAL,NH,CAR,T/W,,,70,,,43,,,30,,,,
87,Kolar Rural PS,0350/2023,10-07-2023,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181(3)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,09-07-2023,18:00,"Near Vijaya Family Restorent, Mulabagilu-Kolar-NH-75 Road",RURAL,NH,T/W,T/W,,,,25,,25/25,,,67,,,,
88,Kolar Rural PS,0352/2023,11-07-2023,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,11-07-2023,19:30,"Near FTB bricks factory,Garudanahalli gate, Vemgal-Kolar Road",RURAL,SH,T/W,Tractor,60,48,,,,,,,,,,,
89,Kolar Rural PS,0358/2023,16-07-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,16-07-2023,09:00,"Near Betni gate,NH-75-Kolar-Bengaluru road,",RURAL,NH,T/W,CAR,,,38,,,,,,,,,,
90,Kolar Rural PS,0364/2023,21-07-2023,"IPC 1860 U/s: 338,337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,19-07-2023,15:00,"Near Shapur Cross,Shapur road",RURAL,SH,CAR,CAR,,,29,,31,55,,,25,,,,
91,Kolar Rural PS,0367/2023,22-07-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,22-07-2023,16:50,"Near Arabikothanooru,Gate,Bengaluru-Kolara, NH-75-Road",RURAL,NH,T/W,CAR,31,,,,,,,,29,,,,
92,Kolar Rural PS,0370/2023,24-07-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 17 IPC 1860 U/s: 338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,23-07-2023,09:30,"Near Kendatti Gate,NH-75-, Bengaluru-Kolar Road,",RURAL,NH,T/W,TIPPER,,,39,,,39,,,26,,,,
93,Kolar Rural PS,0371/2023,25-07-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,24-07-2023,19:30,"Ajjappanahalli Gate,NH-75-, Mulabagilu-Kolar Road",RURAL,NH,T/W,SELF,28,,,,,,,,,,,,
94,Kolar Rural PS,0376/2023,29-07-2023,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,29-07-2023,19:00,"Kalahastipura gate U turn, NH-75 Road",RURAL,NH,PEDESTRIAN,BUS (APSRTC),58,,,,,,,58,,,,,
95,Kolar Rural PS,0397/2023,14-08-2023,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,12-08-2023,19:30,Near Garudanahalli gate,RURAL,SH,T/W,CAR,,,32/45,,,41,,,30,,,,
96,Kolar Rural PS,0400/2023,19-08-2023,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,18-08-2023,18:30,"Muduvadi Lake,Kolar-Shrinivasapura road",RURAL,SH,T/W,EICHER,,,19,,,32,,,34,,,,
97,Kolar Rural PS,0410/2023,23-08-2023,"IPC 1860 U/s: 338,337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,21-08-2023,16:15,Near Kumbarahalli Gate,RURAL,NH,CAR,AUTO,,,48,25,,55,,,31,,,,
98,Kolar Rural PS,0417/2023,28-08-2023,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,27-08-2023,06:00,Near Doddakurubarahalli Circle,RURAL,SH,Pedestrian,T/W,,,55,,,,55,,,,,,
99,Kolar Rural PS,0418/2023,30-08-2023,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 146,184,196 IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 184",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,29-08-2023,20:30,Near Belaganahalli gate ,RURAL,NH,T/W,Tractor,23,,,,,,,,,,,,
100,Kolar Rural PS,0422/2023,31-08-2023,"IPC 1860 U/s: 279,304A",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,28-08-2023,12:00,"Near thimmasandra Gate, Avani-shapuru Road",RURAL,VR,SELF,T/W,,35,,,,,,,,,,,
101,Kolar Rural PS,0429/2023,03-09-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,29-08-2023,12:30,Near Kakinatta Gate NH-75 road,RURAL,NH,SELF,T/W,,,,,50/45,,,,52,,,,
102,Kolar Rural PS,0430/2023,03-09-2023,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 184",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,02-09-2023,19:30,Near Madanahalli gate,RURAL,SH,T/W,Tractor,55,,,,,,,,46,,,,
